instruction,response,category,source,difficulty
What is a timing belt and when should it be replaced?,"A timing belt synchronizes the rotation of the crankshaft and camshaft, ensuring valves open and close at the correct times. Most vehicles require timing belt replacement every 60,000 to 100,000 miles (check your owner's manual). If a timing belt breaks, it can cause catastrophic engine damage. Some vehicles use timing chains which typically last longer. This is a critical maintenance item that shouldn't be ignored.",engine,generated_basic,advanced
Why is my car shaking when I brake?,"Shaking when braking usually indicates warped brake rotors. This can happen from excessive heat buildup, uneven tightening of lug nuts, or normal wear. Other causes include: worn brake pads, loose brake components, or wheel alignment issues. Have your brakes inspected - warped rotors may need resurfacing or replacement. This is a safety issue and should be addressed promptly.",brakes,generated_basic,intermediate
How do I check my transmission fluid?,"To check transmission fluid: 1) Park on level ground with engine running and transmission in Park, 2) Locate the transmission dipstick (usually red or yellow handle, different from oil dipstick), 3) Pull it out, wipe clean, reinsert fully, then pull out again, 4) Check the level against the markings - should be between 'Full' and 'Add' marks, 5) Check color - should be red/pink, not brown or burnt-smelling. If low or discolored, have it serviced.",transmission,generated_basic,intermediate
What should I do if my car won't start?,"If your car won't start, check these common causes: 1) Dead battery (try jump-starting), 2) Empty gas tank, 3) Faulty starter (clicking sound), 4) Ignition switch issues, 5) Fuel pump problems (no sound when turning key), 6) Security system preventing start. Start with the simplest checks first. If battery is good and you hear the engine trying to turn over, it's likely a fuel or ignition issue requiring professional diagnosis.",diagnostics,generated_basic,beginner
How often should I get my car's alignment checked?,"Get your alignment checked if you notice: uneven tire wear, vehicle pulling to one side, steering wheel off-center, or after hitting a pothole or curb. Most manufacturers recommend checking alignment every 2-3 years or 20,000-30,000 miles. Proper alignment improves tire life, fuel efficiency, and handling. It's relatively inexpensive and quick to fix.",suspension,generated_basic,beginner
What is the difference between AWD and 4WD?,"AWD (All-Wheel Drive) automatically distributes power to all wheels and is always engaged, providing better traction in various conditions. 4WD (Four-Wheel Drive) can be manually engaged/disengaged and is designed for off-road use and low-speed traction. AWD is better for on-road performance and handling, while 4WD excels in off-road situations. AWD systems are more complex and can be more expensive to maintain.",drivetrain,generated_advanced,intermediate
How do I diagnose a P0420 error code?,"P0420 indicates 'Catalyst System Efficiency Below Threshold' - meaning your catalytic converter isn't working efficiently. Common causes: failing oxygen sensors, exhaust leaks, damaged catalytic converter, or engine misfires causing unburned fuel. Start by checking for exhaust leaks, then test oxygen sensors. If sensors are good, the catalytic converter likely needs replacement. This code won't cause immediate problems but will fail emissions tests.",diagnostics,generated_advanced,advanced
What causes engine knocking and how do I fix it?,"Engine knocking (pinging) is caused by premature fuel ignition in the cylinder. Common causes: using lower octane fuel than required, carbon buildup, incorrect ignition timing, or engine overheating. Solutions: use higher octane fuel, clean carbon deposits, check timing, ensure proper cooling. Persistent knocking can damage pistons and should be addressed immediately. Modern engines have knock sensors that adjust timing automatically.",engine,generated_advanced,advanced
How do I flush my cooling system?,"To flush cooling system: 1) Let engine cool completely, 2) Drain old coolant from radiator drain plug, 3) Remove thermostat housing and flush with water, 4) Use cooling system flush solution per instructions, 5) Rinse thoroughly with distilled water, 6) Refill with proper coolant/water mix (usually 50/50), 7) Bleed air from system. Use only the coolant type specified in your owner's manual. Flush every 2-3 years or 30,000 miles.",cooling_system,generated_advanced,advanced
What is a CVT transmission and how do I maintain it?,"CVT (Continuously Variable Transmission) uses belts and pulleys instead of gears for seamless acceleration. Maintenance: change CVT fluid every 30,000-60,000 miles (check manual), avoid aggressive towing, don't 'neutral drop', and have it serviced by qualified technicians. CVT fluid is specific - never use regular ATF. Signs of problems: slipping, jerking, or whining noises. CVTs require specialized service.",transmission,generated_advanced,advanced
How do I jump start a car?,"To jump start: 1) Park both cars close but not touching, both off, 2) Connect red clamp to dead battery's positive terminal, 3) Connect other red clamp to good battery's positive terminal, 4) Connect black clamp to good battery's negative terminal, 5) Connect last black clamp to unpainted metal on dead car (not battery), 6) Start good car, wait 2-3 minutes, 7) Start dead car, 8) Remove clamps in reverse order. Never connect negative to negative on dead battery - can cause explosion.",electrical,manual_curation,beginner
What does it mean when my car smells like burning rubber?,"Burning rubber smell can indicate: slipping serpentine belt, overheating brakes, electrical wire insulation melting, or oil leak on hot engine parts. Check belt condition and tension first. If smell persists, have vehicle inspected immediately as electrical issues can be fire hazards.",diagnostics,manual_curation,intermediate
How do I change a flat tire?,"To change flat tire: 1) Park on level, safe ground, engage parking brake, 2) Loosen lug nuts slightly before jacking (they're easier when wheel is on ground), 3) Place jack at proper lift point (check manual), lift until tire clears ground, 4) Remove lug nuts completely, 5) Remove flat tire, 6) Mount spare tire, 7) Hand-tighten lug nuts in star pattern, 8) Lower vehicle, fully tighten lug nuts, 9) Check pressure on spare. Don't drive far on donut spares - they're temporary.",tires,manual_curation,beginner
What is the difference between DOT 3 and DOT 4 brake fluid?,"DOT 3 and DOT 4 are brake fluid specifications. DOT 4 has higher boiling point (446°F vs 401°F), better performance in high-heat situations, and absorbs moisture slower. However, DOT 4 is more expensive and can damage paint. Always use the type specified in your owner's manual - mixing types or using wrong type can cause brake failure. Brake fluid should be changed every 2-3 years.",brakes,manual_curation,intermediate
Why is my car's AC not blowing cold air?,"AC issues can be caused by: low refrigerant (most common), faulty compressor, clogged condenser, electrical problems, or blend door actuator issues. First check if AC clutch engages when AC is on. If not, likely electrical or compressor issue. If clutch engages but no cold air, likely low refrigerant or leak. AC systems require professional service - refrigerant handling requires certification.",hvac,manual_curation,intermediate
How do I know if my spark plugs need replacement?,"Signs of bad spark plugs: rough idle, misfiring, poor acceleration, increased fuel consumption, difficulty starting. Most vehicles need spark plug replacement every 30,000-100,000 miles depending on type (copper vs platinum vs iridium). Check your owner's manual. Bad spark plugs can damage ignition coils and reduce fuel efficiency significantly.",engine,manual_curation,intermediate
What should I do if I put the wrong fuel in my car?,"If you put diesel in a gas car (or vice versa): DO NOT start the engine. Have vehicle towed to mechanic to drain fuel system. If you put regular gas in a car requiring premium: it's usually okay for occasional use, but may cause knocking. Fill with premium on next tank. If you put E85 in non-flex-fuel vehicle: don't start engine, have fuel system drained. Wrong fuel can cause expensive engine damage.",fuel_system,manual_curation,beginner
How often should I replace my cabin air filter?,"Cabin air filter should be replaced every 15,000 to 30,000 miles, or annually. If you drive in dusty/pollen-heavy areas, replace more frequently. Signs it needs replacement: reduced airflow from vents, musty odors, or increased allergens. Cabin filters are usually behind glove box and easy to replace yourself. They improve air quality and AC efficiency.",hvac,manual_curation,beginner
What causes white smoke from exhaust?,"White smoke (actually steam) from exhaust usually indicates coolant leaking into combustion chamber - often from blown head gasket, cracked cylinder head, or damaged engine block. This is serious and requires immediate attention. Other causes: condensation in exhaust (normal on cold starts), or transmission fluid in intake (automatic transmission issue). Thick white smoke that doesn't dissipate quickly is a problem.",engine,manual_curation,advanced
How do I maintain my car's paint and prevent rust?,"To maintain paint and prevent rust: wash regularly (especially in winter to remove salt), wax every 3-6 months, fix paint chips immediately, keep car garaged when possible, use rust inhibitor in rust-prone areas, check for rust spots regularly, and have professional detailing annually. Rust spreads quickly once it starts. Touch-up paint pens can fix small chips before they become problems.",body,manual_curation,beginner
What is a serpentine belt and when should it be replaced?,"Serpentine belt drives multiple engine accessories (alternator, power steering, AC compressor, water pump). Signs of wear: squealing noise, visible cracks/fraying, glazing, or accessories not working. Most belts last 60,000-100,000 miles. If belt breaks, you'll lose power steering, battery charging, and cooling - don't drive. Replacement is relatively inexpensive and critical for reliability.",engine,manual_curation,intermediate
How do I check if my alternator is working?,"Signs of failing alternator: dimming headlights, battery warning light, dead battery (especially if recently replaced), electrical issues, or growling/whining noise. Test with multimeter: with engine running, battery voltage should be 13.5-14.5V. If lower, alternator likely failing. If alternator fails, battery will drain and car will eventually stall. Have it tested at auto parts store if unsure.",electrical,manual_curation,intermediate
What maintenance does a hybrid car need?,"Hybrids need standard maintenance (oil changes, brakes, tires) plus: high-voltage battery system checks, inverter coolant service, and brake system service (regenerative braking reduces brake wear but system needs periodic service). Hybrid batteries typically last 8-15 years. Some hybrids have special transmission fluid requirements. Always follow manufacturer's maintenance schedule - hybrids have unique systems.",hybrid,manual_curation,intermediate
How do I know if my car needs new shocks or struts?,"Signs of worn shocks/struts: excessive bouncing after bumps, nose-diving when braking, body roll in turns, uneven tire wear, leaking fluid on shocks, or vehicle sits lower than normal. Worn suspension affects handling and safety. Most shocks/struts last 50,000-100,000 miles. Have suspension inspected if you notice these signs - it's a safety issue.",suspension,manual_curation,intermediate
What should I check before a long road trip?,"Before long trip: check tire pressure and tread depth, inspect tires for damage, check all fluid levels (oil, coolant, brake, transmission, power steering), test battery, check lights (headlights, brake lights, turn signals), inspect belts and hoses, ensure spare tire is inflated, pack emergency kit (jumper cables, tools, first aid), and have recent oil change if due. Consider professional inspection if trip is very long.",general,manual_curation,beginner
